series_id,provider,model,model_version,model_family,archetype,prompt_language,setting,setting_label,plot_order,temperature,top_p,top_k,reasoning,n_requested,n_semantic_success,literal_unique_count,literal_top1_share,literal_variance_share,semantic_valid_rate,pair_count,p10_rouge_distance,median_rouge_distance,p90_rouge_distance,p10_bleu_distance,median_bleu_distance,p90_bleu_distance
0020-openai-gpt54mini-creative-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,baseline,Basis,6,0.0,1.0,,off,100,100,45,0.11,0.89,1.0,4950,0.05555555555555558,0.23809523809523825,0.5445544554455446,0.13120891756837172,0.4056123087739998,0.6610249839846007
0023-openai-gpt54mini-creative-mittel,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,mittel,Mittel,5,0.7,0.4,,off,100,100,52,0.09,0.91,1.0,4950,0.08571428571428574,0.2989690721649484,0.5445544554455446,0.17425187166059852,0.45247643346591104,0.6943080929507074
0024-openai-gpt54mini-creative-hoch,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,hoch,Hoch,4,1.0,0.95,,off,100,100,100,0.01,0.99,1.0,4950,0.2844036697247706,0.4725274725274725,0.6666666666666667,0.4666899974261671,0.667295788331105,0.883037001703541
0307-lmstudio-apertus-creative-baseline,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,apertus,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,baseline,Basis,3,0.0,1.0,1,,100,100,2,0.99,0.010000000000000009,1.0,4950,0.0,0.0,0.0,0.0,0.0,0.0
0310-lmstudio-apertus-creative-mittel,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,apertus,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,mittel,Mittel,2,0.7,0.4,20,,100,100,98,0.02,0.98,1.0,4950,0.4615384615384617,0.6791288143489401,0.7931034482758621,0.6343876368197325,0.8504741295541833,0.9801155790161964
0311-lmstudio-apertus-creative-hoch,LMSTUDIO,swiss-ai_apertus-8b-instruct-2509,,apertus,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,hoch,Hoch,1,1.0,0.95,40,,100,73,100,0.0136986301369863,0.9863013698630136,0.73,2628,0.725,0.8043478260869565,0.86,0.9220965409177351,0.9793089350489719,0.9889026924586953
